City,Population,Pop2,Violent_crime,Murder_nonneg_nonman,Rape1,Rape2,Robbery,Agg_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson3
Massena Village,10808.00,116812864.00,22.00,0.00,,2.00,2.00,18.00,410.00,52.00,358.00,0.00,
Mechanicville,5213.00,27175369.00,8.00,0.00,,0.00,3.00,5.00,114.00,21.00,89.00,4.00,
Medina Village,5953.00,35438209.00,12.00,0.00,,0.00,3.00,9.00,139.00,37.00,100.00,2.00,
Menands Village,3991.00,15928081.00,5.00,0.00,,0.00,1.00,4.00,101.00,13.00,87.00,1.00,
Middleport Village,1813.00,3286969.00,2.00,0.00,,0.00,0.00,2.00,19.00,1.00,16.00,2.00,0.00
Middletown,27809.00,773340481.00,114.00,1.00,,6.00,47.00,60.00,852.00,136.00,683.00,33.00,4.00
Monroe Village,8544.00,72999936.00,12.00,0.00,,0.00,5.00,7.00,137.00,16.00,118.00,3.00,0.00
Montgomery Town,8961.00,80299521.00,6.00,0.00,,2.00,1.00,3.00,114.00,22.00,91.00,1.00,
Montgomery Village,4188.00,17539344.00,2.00,0.00,,0.00,0.00,2.00,45.00,3.00,42.00,0.00,0.00
Monticello Village,6582.00,43322724.00,48.00,0.00,,4.00,16.00,28.00,276.00,107.00,164.00,5.00,
Moravia Village,1263.00,1595169.00,3.00,0.00,,0.00,0.00,3.00,15.00,0.00,15.00,0.00,0.00
Moriah Town,3628.00,13162384.00,7.00,0.00,,0.00,0.00,7.00,9.00,3.00,5.00,1.00,0.00
Mount Hope Town,7112.00,50580544.00,0.00,0.00,,0.00,0.00,0.00,32.00,6.00,25.00,1.00,
Mount Kisco Village,11028.00,121616784.00,17.00,0.00,,1.00,6.00,10.00,108.00,10.00,98.00,0.00,0.00
Mount Morris Village,2912.00,8479744.00,2.00,0.00,,0.00,1.00,1.00,74.00,10.00,63.00,1.00,
Mount Pleasant Town,26564.00,705646096.00,12.00,0.00,,0.00,6.00,6.00,226.00,25.00,198.00,3.00,0.00
Mount Vernon,68071.00,4633661041.00,554.00,2.00,,7.00,228.00,317.00,1436.00,317.00,972.00,147.00,
Newark Village,8978.00,80604484.00,27.00,0.00,,3.00,7.00,17.00,334.00,71.00,261.00,2.00,
New Berlin Town,1622.00,2630884.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Newburgh,28571.00,816302041.00,435.00,5.00,,21.00,150.00,259.00,1040.00,304.00,673.00,63.00,15.00
Newburgh Town,30984.00,960008256.00,38.00,0.00,,5.00,15.00,18.00,1353.00,143.00,1182.00,28.00,2.00
New Castle Town,17864.00,319122496.00,2.00,0.00,,0.00,0.00,2.00,77.00,13.00,62.00,2.00,0.00
New Hartford Town and Village,20355.00,414326025.00,13.00,0.00,,1.00,3.00,9.00,806.00,72.00,730.00,4.00,
New Paltz Town and Village,14248.00,203005504.00,34.00,0.00,,4.00,4.00,26.00,200.00,16.00,180.00,4.00,0.00
New Rochelle,78800.00,6209440000.00,175.00,0.00,,5.00,81.00,89.00,1391.00,150.00,1172.00,69.00,
New Windsor Town,25767.00,663938289.00,31.00,0.00,,1.00,8.00,22.00,471.00,65.00,394.00,12.00,4.00
New York,8396126.00,70494931807876.00,52384.00,335.00,,1112.00,19170.00,31767.00,141971.00,16606.00,117931.00,7434.00,
New York Mills Village,3324.00,11048976.00,2.00,0.00,,0.00,0.00,2.00,64.00,16.00,47.00,1.00,0.00
Niagara Falls,49574.00,2457581476.00,584.00,3.00,,12.00,166.00,403.00,2807.00,746.00,1949.00,112.00,22.00
Niagara Town,8241.00,67914081.00,13.00,0.00,,0.00,2.00,11.00,489.00,48.00,427.00,14.00,
Niskayuna Town,22097.00,488277409.00,13.00,0.00,,1.00,5.00,7.00,341.00,51.00,282.00,8.00,
Nissequogue Village,1754.00,3076516.00,0.00,0.00,,0.00,0.00,0.00,8.00,1.00,6.00,1.00,0.00
North Castle Town,12077.00,145853929.00,3.00,0.00,,0.00,0.00,3.00,68.00,12.00,53.00,3.00,
North Greenbush Town,12137.00,147306769.00,8.00,0.00,,0.00,2.00,6.00,230.00,32.00,196.00,2.00,
Northport Village,7411.00,54922921.00,6.00,0.00,,0.00,1.00,5.00,59.00,11.00,44.00,4.00,2.00
North Syracuse Village,6964.00,48497296.00,10.00,0.00,,0.00,0.00,10.00,111.00,14.00,94.00,3.00,0.00
North Tonawanda,31176.00,971942976.00,41.00,1.00,,8.00,17.00,15.00,586.00,114.00,455.00,17.00,
Northville Village,1097.00,1203409.00,0.00,0.00,,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
Norwich,7049.00,49688401.00,15.00,0.00,,4.00,0.00,11.00,325.00,25.00,297.00,3.00,0.00
Ogdensburg,11072.00,122589184.00,23.00,0.00,,1.00,5.00,17.00,397.00,72.00,321.00,4.00,2.00
Ogden Town,20026.00,401040676.00,17.00,0.00,,2.00,6.00,9.00,208.00,24.00,176.00,8.00,
Old Brookville Village,2171.00,4713241.00,4.00,0.00,,0.00,1.00,3.00,54.00,16.00,28.00,10.00,0.00
